Name,Latitude,Longitude,Transformer name,Transformer latitude,Transformer longitude,Transformer distance,num_vehicles,year 1,kiosk hoarding,hoarding margin,geometry,utilization,unserviced,capex,opex,margin,max vehicles,estimated vehicles
Miramar Beach,15.48345,73.8088454,CLUBE TENNIS DE GASPER,15.48257043,73.80915508,0.10354820797435865,70,1,1,15520,POINT (73.8088454 15.48345),0.7956422573950813,0.345829468723133,2403870.5199358966,9610500.91063983,125934472748.53683,288.0,229.0
Caculo Mall,15.4864612,73.81785861,CACULO MALL,15.4867393,73.81816298,0.04517997219221521,70,1,1,15520,POINT (73.81785861 15.4864612),0.7823184198052937,0.3314342517545553,2257949.930480538,9489782.072809158,123852072795.958,288.0,225.0
Panjim KTC Bus Stand,15.49610849,73.83826595,KTC Bus stand,15.49509201,73.83813404,0.11413372264835461,70,1,1,15520,POINT (73.83826595 15.49610849),0.38990253147452036,0.053392258098596025,2430334.3066208865,5917509.037883422,62230362943.48938,288.0,112.0
Multi-Level Car Park GTDC,15.499065,73.836559,Managing Director(GTDC),15.49938816,73.83607355,0.06360962967061452,70,1,1,15520,POINT (73.836559 15.499065),0.6348531560714696,0.18826166885905954,2304024.0741765364,8156851.059011147,100859012807.94226,288.0,183.0
INOX Goa,15.4987262790908,73.8210969052181,INOX LEISURE LTD (MULTIPLEX),15.49862299,73.82140704,0.03542469179697981,70,1,1,15520,POINT (73.8210969052181 15.4987262790908),0.6483317092213506,0.20464014130537203,2233561.7294924497,8279165.461422438,102968936249.53706,288.0,187.0
The Mandovi,15.5012909,73.826739,THE MANAGER_HOTEL MANDOVI,15.5011261,73.82667786,0.019511773397844177,70,1,1,15520,POINT (73.826739 15.5012909),0.7124330713198644,0.27101096231267047,2193779.4334946107,8858947.207068581,112970171361.93286,288.0,205.0
Heera Petroleum Indian Oil Petrol Pump,15.49536389,73.8390247,KTC Bus stand,15.49509201,73.83813404,0.10087041131269704,70,1,1,15520,POINT (73.8390247 15.49536389),0.4290406001900131,0.06528210876016062,2397176.0282817427,6276475.09729391,68422527468.3196,288.0,124.0
Petrol Pump,15.4958003,73.82107242,DON BOSCO,15.49575255,73.82059067,0.05231500725599836,70,1,1,15520,POINT (73.82107242 15.4958003),0.653179615706045,0.21002312728155045,2275787.518139996,8323158.965623329,103727824197.00237,288.0,188.0
Sunaparanta Centre for the Arts,15.495079,73.829157,THE EXECUTIVE ENGINEER,15.49533301,73.82897562,0.034420046946930266,70,1,1,15520,POINT (73.829157 15.495079),0.7095270107862272,0.26835053860913405,2231050.117367326,8832702.07290268,112517442797.57117,288.0,204.0
