Name,Latitude,Longitude,Transformer name,Transformer latitude,Transformer longitude,Transformer distance,num_vehicles,year 1,kiosk hoarding,hoarding margin,geometry,utilization,unserviced,capex,opex,margin,max vehicles,estimated vehicles
Miramar Beach,15.48345,73.8088454,CLUBE TENNIS DE GASPER,15.48257043,73.80915508,0.10354820797435865,0,1,1,15520,POINT (73.8088454 15.48345),0.0,0.0,2403870.5199358966,2310000.0,832040.0,56.0,0.0
Panjim KTC Bus Stand,15.49610849,73.83826595,KTC Bus stand,15.49509201,73.83813404,0.11413372264835461,0,1,1,15520,POINT (73.83826595 15.49610849),0.0,0.0,2257949.930480538,2310000.0,832040.0,56.0,0.0
INOX Goa,15.4987262790908,73.8210969052181,INOX LEISURE LTD (MULTIPLEX),15.49862299,73.82140704,0.03542469179697981,0,1,1,15520,POINT (73.8210969052181 15.4987262790908),0.0,0.0,2430334.3066208865,2310000.0,832040.0,56.0,0.0
