Name,Latitude,Longitude,Transformer name,Transformer latitude,Transformer longitude,Transformer distance,num_vehicles,year 1,kiosk hoarding,hoarding margin,geometry,utilization,unserviced,capex,opex,margin,max vehicles,estimated vehicles
Miramar Beach,15.48345,73.8088454,CLUBE TENNIS DE GASPER,15.48257043,73.80915508,0.10354820797435865,0,1,1,15520,POINT (73.8088454 15.48345),0.0,0.0,2403870.5199358966,2310000.0,832040.0,56.0,0.0
Caculo Mall,15.4864612,73.81785861,CACULO MALL,15.4867393,73.81816298,0.04517997219221521,0,1,1,15520,POINT (73.81785861 15.4864612),0.0,0.0,2257949.930480538,2310000.0,832040.0,56.0,0.0
Panjim KTC Bus Stand,15.49610849,73.83826595,KTC Bus stand,15.49509201,73.83813404,0.11413372264835461,0,1,1,15520,POINT (73.83826595 15.49610849),0.0,0.0,2430334.3066208865,2310000.0,832040.0,56.0,0.0
Multi-Level Car Park GTDC,15.499065,73.836559,Managing Director(GTDC),15.49938816,73.83607355,0.06360962967061452,0,1,1,15520,POINT (73.836559 15.499065),0.0,0.0,2304024.0741765364,2310000.0,832040.0,56.0,0.0
INOX Goa,15.4987262790908,73.8210969052181,INOX LEISURE LTD (MULTIPLEX),15.49862299,73.82140704,0.03542469179697981,0,1,1,15520,POINT (73.8210969052181 15.4987262790908),0.0,0.0,2233561.7294924497,2310000.0,832040.0,56.0,0.0
The Mandovi,15.5012909,73.826739,THE MANAGER_HOTEL MANDOVI,15.5011261,73.82667786,0.019511773397844177,0,1,1,15520,POINT (73.826739 15.5012909),0.0,0.0,2193779.4334946107,2310000.0,832040.0,56.0,0.0
Heera Petroleum Indian Oil Petrol Pump,15.49536389,73.8390247,KTC Bus stand,15.49509201,73.83813404,0.10087041131269704,0,1,1,15520,POINT (73.8390247 15.49536389),0.0,0.0,2397176.0282817427,2310000.0,832040.0,56.0,0.0
Petrol Pump,15.4958003,73.82107242,DON BOSCO,15.49575255,73.82059067,0.05231500725599836,0,1,1,15520,POINT (73.82107242 15.4958003),0.0,0.0,2275787.518139996,2310000.0,832040.0,56.0,0.0
Sunaparanta Centre for the Arts,15.495079,73.829157,THE EXECUTIVE ENGINEER,15.49533301,73.82897562,0.034420046946930266,0,1,1,15520,POINT (73.829157 15.495079),0.0,0.0,2231050.117367326,2310000.0,832040.0,56.0,0.0
